table_schema,table_name,field_name,field_order,field_type,required,primary_key,foreign_key,linked_schema,linked_table,linked_field,value_set_name,definition,null_semantics,validation_rule,introduced_version,deprecated_version,active
ballot,ballot_preference,ballot_preference_id,1,UUID,True,True,False,,,,,Field ballot_preference_id in ballot.ballot_preference.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot_preference,ballot_id,2,UUID,True,False,True,ballot,ballot,ballot_id,,Field ballot_id in ballot.ballot_preference.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot_preference,preference_rank,3,INTEGER,True,False,False,,,,,Field preference_rank in ballot.ballot_preference.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot_preference,candidacy_id,4,UUID,False,False,True,core,candidacy,candidacy_id,,Field candidacy_id in ballot.ballot_preference.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot_preference,ballot_group_id,5,UUID,False,False,True,core,ballot_group,ballot_group_id,,Field ballot_group_id in ballot.ballot_preference.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,ballot_preference,source_marking,6,VARCHAR,False,False,False,,,,,Field source_marking in ballot.ballot_preference.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,group_voting_ticket,group_voting_ticket_id,1,UUID,True,True,False,,,,,Field group_voting_ticket_id in ballot.group_voting_ticket.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,group_voting_ticket,contest_id,2,VARCHAR,True,False,True,core,contest,contest_id,,Field contest_id in ballot.group_voting_ticket.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,group_voting_ticket,ballot_group_id,3,UUID,True,False,True,core,ballot_group,ballot_group_id,,Field ballot_group_id in ballot.group_voting_ticket.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,group_voting_ticket,ticket_number,4,INTEGER,True,False,False,,,,,Field ticket_number in ballot.group_voting_ticket.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,group_voting_ticket,preference_count,5,INTEGER,True,False,False,,,,,Field preference_count in ballot.group_voting_ticket.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,group_voting_ticket,publication_status,6,VARCHAR,True,False,False,,,,,Field publication_status in ballot.group_voting_ticket.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,group_voting_ticket,source_revision_id,7,VARCHAR,True,False,True,provenance,source_file_revision,source_revision_id,,Field source_revision_id in ballot.group_voting_ticket.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,group_voting_ticket,source_locator,8,VARCHAR,True,False,False,,,,,Field source_locator in ballot.group_voting_ticket.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,group_voting_ticket,record_status,9,VARCHAR,True,False,False,,,,,Field record_status in ballot.group_voting_ticket.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,group_voting_ticket_preference,group_voting_ticket_preference_id,1,UUID,True,True,False,,,,,Field group_voting_ticket_preference_id in ballot.group_voting_ticket_preference.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,group_voting_ticket_preference,group_voting_ticket_id,2,UUID,True,False,True,ballot,group_voting_ticket,group_voting_ticket_id,,Field group_voting_ticket_id in ballot.group_voting_ticket_preference.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,group_voting_ticket_preference,preference_rank,3,INTEGER,True,False,False,,,,,Field preference_rank in ballot.group_voting_ticket_preference.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,group_voting_ticket_preference,candidacy_id,4,UUID,True,False,True,core,candidacy,candidacy_id,,Field candidacy_id in ballot.group_voting_ticket_preference.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,group_voting_ticket_preference,source_marking,5,VARCHAR,True,False,False,,,,,Field source_marking in ballot.group_voting_ticket_preference.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
ballot,group_voting_ticket_preference,source_locator,6,VARCHAR,True,False,False,,,,,Field source_locator in ballot.group_voting_ticket_preference.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,adapter_registry,adapter_id,1,VARCHAR,True,True,False,,,,,Field adapter_id in control.adapter_registry.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,adapter_registry,authority_id,2,VARCHAR,True,False,True,control,electoral_authority,authority_id,,Field authority_id in control.adapter_registry.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,adapter_registry,adapter_version,3,VARCHAR,True,False,False,,,,,Field adapter_version in control.adapter_registry.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,adapter_registry,config_path,4,VARCHAR,True,False,False,,,,,Field config_path in control.adapter_registry.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,adapter_registry,code_version,5,VARCHAR,True,False,False,,,,,Field code_version in control.adapter_registry.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,adapter_registry,status,6,VARCHAR,True,False,False,,,,,Field status in control.adapter_registry.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,adapter_registry,schema_signature_sha256,7,VARCHAR,False,False,False,,,,,Field schema_signature_sha256 in control.adapter_registry.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,adapter_registry,active,8,BOOLEAN,True,False,False,,,,,Field active in control.adapter_registry.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,chamber,chamber_id,1,VARCHAR,True,True,False,,,,,Field chamber_id in control.chamber.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,chamber,chamber_code,2,VARCHAR,True,False,False,,,,,Field chamber_code in control.chamber.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,chamber,chamber_name,3,VARCHAR,True,False,False,,,,,Field chamber_name in control.chamber.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
control,chamber,chamber_type,4,VARCHAR,True,False,False,,,,,Field chamber_type in control.chamber.,Blank is permitted only when the field is nullable and the source/value status explains absence.,,0.2.0,,True
